status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
Completed successfully,1641.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,660.0,,Nenita Javier,2025-06-13 15:17:00,2025-06-13 15:44:21,2025-06-13,15.0
Completed successfully,1670.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,661.0,,Nenita Javier,2025-06-14 03:15:00,2025-06-14 03:42:50,2025-06-14,3.0
Completed successfully,2572.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,662.0,,Nenita Javier,2025-06-15 02:49:00,2025-06-15 03:31:52,2025-06-15,2.0
Completed successfully,334.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,663.0,,,2025-06-15 04:05:00,2025-06-15 04:10:34,2025-06-15,4.0
Completed successfully,2257.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,664.0,,Nenita Javier,2025-06-15 04:11:00,2025-06-15 04:48:37,2025-06-15,4.0
Completed successfully,1665.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,665.0,,Nenita Javier,2025-06-14 07:32:00,2025-06-14 07:59:45,2025-06-14,7.0
Completed successfully,2061.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,666.0,,Nenita Javier,2025-06-12 00:38:00,2025-06-12 01:12:21,2025-06-12,0.0
Completed successfully,1672.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,667.0,,Nenita Javier,2025-06-14 00:47:00,2025-06-14 01:14:52,2025-06-14,0.0
Completed successfully,1809.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,668.0,,Marilyn Coquia,2025-06-16 01:32:00,2025-06-16 02:02:09,2025-06-16,1.0
Completed successfully,2276.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,669.0,,,2025-06-16 02:21:00,2025-06-16 02:58:56,2025-06-16,2.0
Completed successfully,1618.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,670.0,,Marilyn Coquia,2025-06-16 03:52:00,2025-06-16 04:18:58,2025-06-16,3.0
Completed successfully,1726.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,671.0,,Marilyn Coquia,2025-06-16 04:39:00,2025-06-16 05:07:46,2025-06-16,4.0
Completed successfully,1498.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,672.0,,AIDA VARGAS,2025-06-16 03:38:00,2025-06-16 04:02:58,2025-06-16,3.0
Completed successfully,2053.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,673.0,,MALOU TOLENTINO,2025-06-16 03:20:00,2025-06-16 03:54:13,2025-06-16,3.0
Completed successfully,2112.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,674.0,,MALOU TOLENTINO,2025-06-16 04:58:00,2025-06-16 05:33:12,2025-06-16,4.0
Completed successfully,1778.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,675.0,,ROSELYN LAGMAN,2025-06-16 04:18:00,2025-06-16 04:47:38,2025-06-16,4.0
Completed successfully,1664.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,676.0,,MIRA LUCIA,2025-06-16 06:20:00,2025-06-16 06:47:44,2025-06-16,6.0
Completed successfully,1972.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,677.0,,MIRA LUCIA,2025-06-16 07:37:00,2025-06-16 08:09:52,2025-06-16,7.0
Completed successfully,1477.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,678.0,,MIRA LUCIA,2025-06-16 06:10:00,2025-06-16 06:34:37,2025-06-16,6.0
Completed successfully,2113.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,679.0,,MIRA LUCIA,2025-06-16 03:22:00,2025-06-16 03:57:13,2025-06-16,3.0
Completed successfully,137.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,680.0,,,2025-06-16 07:15:00,2025-06-16 07:17:17,2025-06-16,7.0
Completed successfully,146.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,681.0,,,2025-06-16 07:18:00,2025-06-16 07:20:26,2025-06-16,7.0
Completed successfully,1443.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,682.0,,MIRA LUCIA,2025-06-16 07:23:00,2025-06-16 07:47:03,2025-06-16,7.0
Completed successfully,1243.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,683.0,,MIRA LUCIA,2025-06-16 08:07:00,2025-06-16 08:27:43,2025-06-16,8.0
Completed successfully,3091.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,684.0,,Sheila Ofqueria,2025-06-16 05:07:00,2025-06-16 05:58:31,2025-06-16,5.0
Completed successfully,2418.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,685.0,,Sheila Ofqueria,2025-06-16 06:39:00,2025-06-16 07:19:18,2025-06-16,6.0
Completed successfully,2027.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,686.0,,Nenita Javier,2025-06-15 06:25:00,2025-06-15 06:58:47,2025-06-15,6.0
Completed successfully,2.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,687.0,,Nenita Javier,2025-06-15 04:21:00,2025-06-15 04:21:02,2025-06-15,4.0
